Name,Position,Goalkeeper,Defender,Midfielder,Forward
Alexandra Takounda,Forward,,,,1
Michaela Abam,Forward,,,,1
Nichelle Prince,Forward,,,,1
Adriana Leon,Forward,,,,1
Javiera Grez,Forward,,,,1
Daniela Zamora,Forward,,,,1
Li Ying,Forward,,,,1
Ellen White,Forward,,,,1
Eugénie Le Sommer,Forward,,,,1
Viviane Asseyi,Forward,,,,1
Yuika Sugasawa,Forward,,,,1
Yeo Min-ji,Forward,,,,1
Lee Geum-min,Forward,,,,1
Sarah Gregorius,Forward,,,,1
Chinaza Uchendu,Forward,,,,1
Francisca Ordega,Forward,,,,1
Lisa-Marie Utland,Forward,,,,1
Lana Clelland,Forward,,,,1
Rhoda Mulaudzi,Forward,,,,1
Nahikari García,Forward,,,,1
Julia Zigiotti Olme,Forward,,,,1
Carli Lloyd,Forward,,,,1
Robbie Kruse,Forward,,,,2
Daniel Arzani,Forward,,,,2
Romelu Lukaku,Forward,,,,2
Dries Mertens,Forward,,,,2
Luis Muriel,Forward,,,,2
Marko Pjaca,Forward,,,,2
Andreas Cornelius,Forward,,,,2
Amr Warda,Forward,,,,2
Jamie Vardy,Forward,,,,2
Marcus Rashford,Forward,,,,2
Ousmane Dembélé,Forward,,,,2
Mario Gómez,Forward,,,,2
Mehdi Taremi,Forward,,,,2
Shinji Okazaki,Forward,,,,2
Alex Iwobi,Forward,,,,2
Blas Pérez,Forward,,,,2
Luis Tejada,Forward,,,,2
Edison Flores,Forward,,,,2
Gonçalo Guedes,Forward,,,,2
Gelson Martins,Forward,,,,2
Artem Dzyuba,Forward,,,,2
Fahad Al-Muwallad,Forward,,,,2
Keita Baldé,Forward,,,,2
Haris Seferović,Forward,,,,2
Maxi Gómez,Forward,,,,2
Sole Jaimes,Forward,,,,2
Debinha,Forward,,,,2
Beatriz,Forward,,,,2
Wang Shanshan,Forward,,,,2
Mana Iwabuchi,Forward,,,,2
Ji So-yun,Forward,,,,2
Lieke Martens,Forward,,,,2
Rosie White,Forward,,,,2
Erin Cuthbert,Forward,,,,2
Ode Fulutudilu,Forward,,,,2
Thembi Kgatlana,Forward,,,,2
Jermaine Seoposenwe,Forward,,,,2
Mathew Leckie,Forward,,,,3
Michy Batshuayi,Forward,,,,3
Joel Campbell,Forward,,,,3
Raheem Sterling,Forward,,,,3
Timo Werner,Forward,,,,3
Karim Ansarifard,Forward,,,,3
Carlos Vela,Forward,,,,3
Khalid Boutaïb,Forward,,,,3
Odion Ighalo,Forward,,,,3
André Carrillo,Forward,,,,3
Robert Lewandowski,Forward,,,,3
Hwang Hee-chan,Forward,,,,3
Ola Toivonen,Forward,,,,3
Mario Gavranović,Forward,,,,3
Naïm Sliti,Forward,,,,3
Hayley Raso,Forward,,,,3
Janine Beckie,Forward,,,,3
Yanara Aedo,Forward,,,,3
